Date,Close,High,Low,Open,Volume,Returns,Rolling Mean,Rolling Volatility,Cumulative Return,Fear_Greed,Risk_Adjustment_Returns,Fear_Signal,Investor_Bias,Recommendataion,sharpe_Rato,Rolling_Sharpe,Performance,Recommendation,Strategy_Return,Cumulative_Strategy_Return,Cumulative_Market_Return,Recommendation_Shifted
2019-05-10,47.2093505859375,47.60918957732427,46.15349960538394,47.266813330080936,164834800,-0.0138536152504513,48.059452056884766,0.0139468739535331,1.1631174878879988,Greed,-0.9933132898890096,Greed,Neutral,Hold,-0.9933132898890096,0.1335681601744722,Good,Hold,0.0,0.9646539660111537,1.1631174878880004,Hold
2019-05-13,44.465576171875,45.36580404744378,43.7784343150076,44.94202857472407,229722400,-0.0581193000964475,48.03150901794434,0.0176701336485833,1.09551791356201,Greed,-3.2891262314310343,Greed,Neutral,Hold,-3.2891262314310343,0.0061617604959563,Good,Hold,0.0,0.9646539660111537,1.0955179135620117,Hold
2019-05-14,45.1694564819336,45.41845431172062,44.3913332405644,44.63075577637031,146118800,0.015829780487671,48.01677322387695,0.0178740974697244,1.112859721654008,Fear,0.8856268415501193,Greed,Neutral,Hold,0.8856268415501193,0.0171114447397784,Good,Hold,0.0,0.9646539660111537,1.1128597216540097,Hold
2019-05-15,45.710567474365234,45.909288693023,44.53739806425962,44.59725372096499,106178800,0.0119795772315318,47.99797325134277,0.017807527078285,1.1261913106374235,Fear,0.6727254816947623,Greed,Neutral,Hold,0.6727254816947623,0.0002695947100813,Good,Hold,0.0,0.9646539660111537,1.126191310637425,Hold
2019-05-16,45.50944519042969,46.08166501987308,45.21255987117796,45.468743789558665,132125600,-0.0043999078341859,47.96189511617025,0.0177711028827912,1.1212361726669575,Fear,-0.2475877756831056,Fear,Fear,Buy,-0.2475877756831056,-0.026496458745833,Poor,Hold,0.0,0.9646539660111537,1.1212361726669593,Hold
2019-05-17,45.25087356567383,45.7057750661255,44.714565600818894,44.75526700637096,131516400,-0.0056817134041932,47.91449495951335,0.0177886281417733,1.1148656300754496,Fear,-0.319401437756223,Fear,Fear,Buy,-0.319401437756223,-0.0418943035609934,Poor,Hold,0.0,0.9646539660111537,1.1148656300754511,Hold
2019-05-20,43.835880279541016,44.13755507522487,43.1631033991647,43.93883389096766,154449200,-0.0312699661826239,47.80951385498047,0.0185648917601159,1.0800038195248205,Fear,-1.6843602745803825,Fear,Fear,Buy,-1.6843602745803825,-0.1163983701220039,Poor,Hold,0.0,0.9646539660111537,1.080003819524822,Hold
2019-05-21,44.67625427246094,45.011444418513406,44.221349184762765,44.345849947567366,113459200,0.0191709163260977,47.707899729410805,0.0186891308275173,1.1007084823807969,Fear,1.0257789141200209,Greed,Neutral,Hold,1.0257789141200209,-0.124781929793455,Poor,Hold,0.0,0.9646539660111537,1.1007084823807984,Hold
2019-05-22,43.76166915893555,44.4631793828225,43.70660297552515,44.2117848841149,118994400,-0.0204713919825896,47.58056920369466,0.0189902609980966,1.0781754475794183,Fear,-1.0779942405552747,Fear,Fear,Buy,-1.0779942405552747,-0.1526409838548769,Poor,Hold,0.0,0.9646539660111537,1.0781754475794199,Hold
2019-05-23,43.01466369628906,43.22535309271578,42.57173044037936,43.04818271299096,146118800,-0.0170698576403354,47.41943473815918,0.019102773633324,1.0597711461779329,Fear,-0.8935800616177401,Fear,Fear,Buy,-0.8935800616177401,-0.1975465283342924,Poor,Hold,0.0,0.9646539660111537,1.0597711461779342,Hold
2019-05-24,42.84946441650391,43.60843364494514,42.76566504244201,43.143953201217286,94858800,-0.0038405340316401,47.266070175170896,0.0190801747896836,1.055701059025286,Fear,-0.2012840067752747,Fear,Fear,Buy,-0.2012840067752747,-0.1817310328372721,Poor,Hold,0.0,0.9646539660111537,1.0557010590252875,Hold
2019-05-28,42.67228317260742,43.23732057790703,42.59566985074056,42.83748532867149,111792800,-0.004134969860399,47.10743560791016,0.0190733557444134,1.051335766964625,Fear,-0.2167929920570026,Fear,Fear,Buy,-0.2167929920570026,-0.1878678935992741,Poor,Hold,0.0,0.9646539660111537,1.0513357669646268,Hold
